hour_bin_label,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0-1,4082,2587,2742,3382,5718,12691,15939
2-3,1759,939,943,1230,1977,5416,7209
4-5,1804,1545,1544,1610,1731,1870,2726
6-7,6477,7893,7866,7898,7291,4340,4049
8-9,9770,10815,10929,11225,10504,13885,11773
10-11,13042,10976,10344,11750,14231,29668,28215
12-13,18568,15133,14754,16383,21421,39057,36810
14-15,21342,17827,17521,19711,25144,42200,40207
16-17,29365,29404,30118,32959,33253,40828,37723
18-19,25028,26817,28495,31410,30380,34285,27126
20-21,14503,14704,17235,19220,18358,22219,16166
22-23,8393,8748,10350,13880,16337,22500,11303
